credits,dept_num,instructor,keyword,session,term,title,university
3,GERM 345 001,"Caldwell, Peter C.",histor,Full Term,Fall Semester 2017,"GERMAN HISTORY, 1890-1945",rice university
3,HART 225 001,"Geiser, Reto",histor,Full Term,Fall Semester 2017,HISTORY & THEORY I (INTRO),rice university
4,HART 280 001,"Dove, Charles",histor,Full Term,Fall Semester 2017,HISTORY & AESTHETICS OF FILM,rice university
3,HART 506 001,"Colman, Scott W.",histor,Full Term,Fall Semester 2017,HISTORY & THEORY III 1890-1968,rice university
3,HART 545 001,"Geiser, Reto",histor,Full Term,Fall Semester 2017,HISTORY & THEORY I (INTRO),rice university
3,HART 590 001,"Costello, Robert L.",histor,Full Term,Fall Semester 2017,METHODS OF ART HISTORY,rice university
3,HIST 207 001,"Kennedy, Sheridan W.",histor,Full Term,Fall Semester 2017,SPATIAL HISTORY HISTORICAL GIS,rice university
3,HIST 217 001,"Yarbrough, Fay A.",histor,Full Term,Fall Semester 2017,HISTORY: THE WORKSHOP,rice university
3,HIST 271 001,"Balabanlilar, Lisa A.",histor,Full Term,Fall Semester 2017,HISTORY OF SOUTH ASIA,rice university
3,HIST 309 002,"Barlow, Tani",histor,Full Term,Fall Semester 2017,CHINESE INTELLECTUAL HISTORY,rice university
3,HIST 312 001,"Lopez Alonso, Moramay",histor,Full Term,Fall Semester 2017,BIOMEDICAL APPROACH TO HISTORY,rice university
3,HIST 355 001,"Caldwell, Peter C.",histor,Full Term,Fall Semester 2017,"GERMAN HISTORY, 1890-1945",rice university
3,HIST 398 001,"Dow, David R.",histor,Full Term,Fall Semester 2017,TOPICS IN LEGAL HISTORY,rice university
3,HIST 420 001,"Lopez Alonso, Moramay",histor,Full Term,Fall Semester 2017,MEXICAN HISTORY,rice university
3,HIST 500 001,"Lopez Alonso, Moramay",histor,Full Term,Fall Semester 2017,MEXICAN HISTORY,rice university
3,HIST 587 001,"McDaniel, William C.
Yarbrough, Fay A.",histor,Full Term,Fall Semester 2017,U.S. SOCIAL/CULTURAL HISTORY,rice university
3,MDEM 201 001,"Siewert, Charles",histor,Full Term,Fall Semester 2017,HISTORY OF PHILOSOPHY I,rice university
3,PHIL 201 001,"Siewert, Charles",histor,Full Term,Fall Semester 2017,HISTORY OF PHILOSOPHY I,rice university
3,PHIL 326 001,"Yao, Vida",histor,Full Term,Fall Semester 2017,HISTORY OF ETHICS,rice university
3,RELI 427 001,"Bongmba, Elias K.",histor,Full Term,Fall Semester 2017,HISTORY AND METHODS: 19TH CENT,rice university
3,RELI 488 001,"Kripal, Jeffrey J.",histor,Full Term,Fall Semester 2017,HISTORY OF RELIGIONS,rice university
3,RELI 527 001,"Bongmba, Elias K.",histor,Full Term,Fall Semester 2017,HISTORY AND METHODS: 19TH CENT,rice university
3,RELI 588 001,"Kripal, Jeffrey J.",histor,Full Term,Fall Semester 2017,HISTORY OF RELIGIONS,rice university
3,SWGS 398 001,"Dow, David R.",histor,Full Term,Fall Semester 2017,TOPICS IN LEGAL HISTORY,rice university
3,THEA 315 001,"Swackhamer, Leslie A.",histor,Full Term,Fall Semester 2017,INTRO TO THEATRE HISTORY,rice university
3,HUMA 371 001,"Strassmann, Diana L.",justic,Full Term,Fall Semester 2017,"POVERTY, JUSTICE, CAPABILITIES",rice university
3,HUMA 371 002,"Strassmann, Diana L.",justic,Full Term,Fall Semester 2017,"POVERTY, JUSTICE, CAPABILITIES",rice university
3,SOCI 371 001,"Strassmann, Diana L.",justic,Full Term,Fall Semester 2017,"POVERTY, JUSTICE, CAPABILITIES",rice university
