credits,dept_num,instructor,keyword,term,title,university
1.5,LES 586,Bundy,ethic,Spring 2018,Basic Ethical Issues for Mgrs,arizona state university-tempe
3,MLS 503,Botham,ethic,Spring 2018,"Ethics, Science, and Culture",arizona state university-tempe
3,NAV 402,"McDonald, Roos",ethic,Spring 2018,Leadership and Ethics,arizona state university-tempe
3,NAV 402,"McDonald, Roos",ethic,Spring 2018,Leadership and Ethics,arizona state university-tempe
3,PHI 105,McElhoes,ethic,Spring 2018,Intro to Ethics,arizona state university-tempe
3,PHI 105,Johnson,ethic,Spring 2018,Intro to Ethics,arizona state university-tempe
3,PHI 306,Pike,ethic,Spring 2018,Applied Ethics,arizona state university-tempe
3,PHI 320,Yanke,ethic,Spring 2018,Bioethics,arizona state university-tempe
3,PHI 335,Nair,ethic,Spring 2018,History of Ethics,arizona state university-tempe
3,PHI 337,Calhoun,ethic,Spring 2018,Ethical Theory,arizona state university-tempe
3,PHI 420,McGregor,ethic,Spring 2018,"Topic: Topics in the Ethics of Sustainability
(SEM)",arizona state university-tempe
3,PHI 522,McGregor,ethic,Spring 2018,"Ethics of Sustainability
(SEM)",arizona state university-tempe
3,POS 368,Bar,ethic,Spring 2018,Ethics and Human Rights,arizona state university-tempe
3,PSY 598,Wolchik,ethic,Spring 2018,Topic: Clinical Interviewing and Ethics,arizona state university-tempe
3,SOS 527,Minteer,ethic,Spring 2018,"Environ Ethics & Policy Goals
(SEM)",arizona state university-tempe
3,BIO 515,"Crow, Sarewitz",fair,Spring 2018,"Science, Tech & Public Affairs",arizona state university-tempe
3,HON 494,"Crow, Sarewitz",fair,Spring 2018,Topic: Science Tech and Public Affairs,arizona state university-tempe
3,HSD 515,"Crow, Sarewitz",fair,Spring 2018,"Science, Tech & Public Affairs",arizona state university-tempe
3,NAV 102,"McDonald, Stringer",fair,Spring 2018,Sea Power and Maritime Affairs,arizona state university-tempe
3,NAV 102,"McDonald, Stringer",fair,Spring 2018,Sea Power and Maritime Affairs,arizona state university-tempe
3,PAF 547,"Crow, Sarewitz",fair,Spring 2018,"Science, Tech & Public Affairs",arizona state university-tempe
3,SOS 516,"Crow, Sarewitz",fair,Spring 2018,"Science, Tech & Public Affairs",arizona state university-tempe
3,HON 394,King,femin,Spring 2018,Topic: Contemporary Issues in Feminist Theory,arizona state university-tempe
3,WST 378,Switzer,femin,Spring 2018,Global Feminist Theory,arizona state university-tempe
3,AFR 375,Cox,gender,Spring 2018,"Race, Gender and Sport",arizona state university-tempe
3,AFR 460,Sandlin,gender,Spring 2018,"Race, Gender, and Media",arizona state university-tempe
3,APA 330,Leong,gender,Spring 2018,Asian Pacific American Genders,arizona state university-tempe
3,CED 591,Catena,gender,Spring 2018,"Topic: Counseling Lesbian, Gay, Bisexual, Transgender
(SEM)",arizona state university-tempe
3,COM 316,Hanna,gender,Spring 2018,Gender and Communication,arizona state university-tempe
3,COM 316,Brouwer,gender,Spring 2018,Gender and Communication,arizona state university-tempe
3,COM 316,Booth,gender,Spring 2018,Gender and Communication,arizona state university-tempe
3,COM 316,Booth,gender,Spring 2018,Gender and Communication,arizona state university-tempe
3,COM 316,Jones,gender,Spring 2018,Gender and Communication,arizona state university-tempe
3,COM 316,Jones,gender,Spring 2018,Gender and Communication,arizona state university-tempe
3,COM 316,Hanna,gender,Spring 2018,Gender and Communication,arizona state university-tempe
3,CRJ 305,Robinson,gender,Spring 2018,"Gender,Crime&Criminal Justice",arizona state university-tempe
3,EPA 691,Powers,gender,Spring 2018,"Topic: Race, Class & Gender
(SEM)",arizona state university-tempe
3,FAS 264,Sechler,gender,Spring 2018,Gender and Society,arizona state university-tempe
3,FMS 380,Green,gender,Spring 2018,Race and Gender in Am Film,arizona state university-tempe
3,SOC 264,Sechler,gender,Spring 2018,Gender and Society,arizona state university-tempe
3,WST 100,Vlahoulis,gender,Spring 2018,"Women, Gender, and Society",arizona state university-tempe
3,WST 100,Katsulis,gender,Spring 2018,"Women, Gender, and Society",arizona state university-tempe
3,WST 100,Vandermeade,gender,Spring 2018,"Women, Gender, and Society",arizona state university-tempe
3,WST 100,Collier,gender,Spring 2018,"Women, Gender, and Society",arizona state university-tempe
3,WST 300,Switzer,gender,Spring 2018,Women & Gender Contempry Soc,arizona state university-tempe
3,WST 331,Leong,gender,Spring 2018,Asian Pacific American Genders,arizona state university-tempe
3,WST 335,Anderson,gender,Spring 2018,"Gender, Race, & Sex in Sci Fi",arizona state university-tempe
3,WST 345,Vega,gender,Spring 2018,"Gender, Religion & Violence",arizona state university-tempe
3,WST 380,Zewdu-Habte,gender,Spring 2018,"Race, Gender, and Class",arizona state university-tempe
3,WST 394,Staff,gender,Spring 2018,"Topic: Gender, Sexuality, and the Body",arizona state university-tempe
3,WST 502,Vega,gender,Spring 2018,Gender Research Methodologies,arizona state university-tempe
3,WST 603,Fonow,gender,Spring 2018,Engendering Methodology,arizona state university-tempe
3,WST 691,Bailey,gender,Spring 2018,"Topic: Queer of Color Critique: Race, Gender, & Sexuality",arizona state university-tempe
3,AIS 598,La Russo,govern,Spring 2018,Topic: Diné Leadership Philosophy and Governance,arizona state university-tempe
3,EGR 598,"Breetz, Karwat",govern,Spring 2018,Topic: Next-generation Sustainability Governance Design,arizona state university-tempe
3,HSD 598,"Breetz, Karwat",govern,Spring 2018,Topic: Next-generation Sustainability Governance Design,arizona state university-tempe
3,POS 110,Herrera,govern,Spring 2018,Government and Politics,arizona state university-tempe
3,POS 150,Kittilson,govern,Spring 2018,Comparative Government,arizona state university-tempe
3,POS 310,Lewis,govern,Spring 2018,American National Government,arizona state university-tempe
3,POS 410,Lewis,govern,Spring 2018,Governing American Cities,arizona state university-tempe
3,SOS 594,"Breetz, Karwat",govern,Spring 2018,"Topic: Next-generation Sustainability Governance Design
(STO)",arizona state university-tempe
3,TSS 691,Lara-Valencia,govern,Spring 2018,"Topic: Trnsbrdr Governance&Cooperation: Comparative Views
(SEM)",arizona state university-tempe
